serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
2688,1,Lagoon,Lagoon,0.4897997024357319,47952.0,large: 10000+,0.06996540113766683,0.22496190667152405,0.05972800403833389,0.6066141128540039,0.102,0.08343763649463654,0.04759271815419197,0.12333288788795471
2697,1,TF,Lagoon,0.7861028619408608,174960.0,large: 10000+,0.0923952398300473,0.16439089179039001,0.035243213176727295,0.4097897410392761,0.03271917119861291,0.0901089608669281,0.04048721864819527,0.14022737741470337
2745,1,Lagoon,Lagoon,0.5944284918755293,51840.0,large: 10000+,0.06996540113766683,0.23707400262355804,0.05600196495652199,0.6442628502845764,0.102,0.0790032148361206,0.03999720513820648,0.12163139879703522
2789,1,Lagoon,Lagoon,0.8365864211246371,518400.0,large: 10000+,0.06996540113766683,0.13543929159641266,0.02783491276204586,0.3223955035209656,0.102,0.09417682141065598,0.04318271577358246,0.14560388028621674
2794,1,Anaerobic,Anaerobic,0.3921181863563834,35674.56,large: 10000+,0.0,0.19505780935287476,0.03650398924946785,0.6437287330627441,0.408,0.1896805316209793,0.060805246233940125,0.3787064552307129
2856,1,CAS,Lagoon,0.6519148396663368,90720.0,large: 10000+,0.46002504380856235,0.24154868721961975,0.05539172515273094,0.7124130129814148,0.021608997891512972,0.07618498802185059,0.03465401753783226,0.12306234985589981
2885,1,Lagoon,Lagoon,0.7427781605124474,194400.0,large: 10000+,0.06996540113766683,0.2000320851802826,0.04895591363310814,0.5046495795249939,0.102,0.08725882321596146,0.041979528963565826,0.13376908004283905
5767,1,Pond,Pond,0.8125131489578634,12500.0,large: 10000+,0.06996540113766683,0.10895001143217087,0.022660288959741592,0.2523626387119293,0.102,0.09541784226894379,0.04642225801944733,0.14609339833259583
6150,1,BNR,BNR,0.2931354865189641,105280.0,large: 10000+,0.6015299626676763,0.5237476229667664,0.09188047051429749,1.299539566040039,0.017852082981753833,0.03335408493876457,0.01435999944806099,0.05918138101696968
6162,1,Lagoon,Lagoon,0.7842516607344151,13244.0,large: 10000+,0.06996540113766683,0.17846029996871948,0.03863365203142166,0.4099900722503662,0.102,0.0871618464589119,0.039594512432813644,0.13701997697353363
