serial number,population_bucket,served_population,A2O_mean,A2O_std,A2O_ci_lower,A2O_ci_upper,A2O_median,AO_mean,AO_std,AO_ci_lower,AO_ci_upper,AO_median,Anaerobic_mean,Anaerobic_std,Anaerobic_ci_lower,Anaerobic_ci_upper,Anaerobic_median,BAF_mean,BAF_std,BAF_ci_lower,BAF_ci_upper,BAF_median,BNR_mean,BNR_std,BNR_ci_lower,BNR_ci_upper,BNR_median,CAS_mean,CAS_std,CAS_ci_lower,CAS_ci_upper,CAS_median,EA_mean,EA_std,EA_ci_lower,EA_ci_upper,EA_median,Lagoon_mean,Lagoon_std,Lagoon_ci_lower,Lagoon_ci_upper,Lagoon_median,MBR_mean,MBR_std,MBR_ci_lower,MBR_ci_upper,MBR_median,MLE_mean,MLE_std,MLE_ci_lower,MLE_ci_upper,MLE_median,OD_mean,OD_std,OD_ci_lower,OD_ci_upper,OD_median,Pond_mean,Pond_std,Pond_ci_lower,Pond_ci_upper,Pond_median,RBC_mean,RBC_std,RBC_ci_lower,RBC_ci_upper,RBC_median,SBR_mean,SBR_std,SBR_ci_lower,SBR_ci_upper,SBR_median,TF_mean,TF_std,TF_ci_lower,TF_ci_upper,TF_median,Wetland_mean,Wetland_std,Wetland_ci_lower,Wetland_ci_upper,Wetland_median,predicted_biotreat,confidence,prediction_entropy,treatment_level,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,Region
AE00001,large: 10000+,110809.0,0.0021607710188254713,0.0006048325215649068,0.0012760638172039762,0.0035442892869468772,0.0020730181131511927,0.015305715212598443,0.006319916671266643,0.006658151501324028,0.031447547301650045,0.014046353287994862,0.010318083051010035,0.005451164419034863,0.003611943597206846,0.023703899187967177,0.00898292986676097,0.008067076317965985,0.003359635253338439,0.0037362322094850243,0.01611149511300027,0.0074426159262657166,0.006137312366976403,0.0024256065933568015,0.002574011986143887,0.012165263900533319,0.005803183885291219,0.36257797545194625,0.10003436737928888,0.18318604230880736,0.5739453628659248,0.3566417396068573,0.05759747077804059,0.02943507562861586,0.020427371794357895,0.12846651785075663,0.05215699039399624,0.2578323926627636,0.09439199466639198,0.11079839989542961,0.4763776749372482,0.24666180461645126,0.006430943594430573,0.0038605318947485413,0.002213888114783913,0.014688421576283871,0.005617313086986542,0.016758257698733358,0.008691058469845718,0.006553336139768362,0.037955199740827075,0.014994191471487284,0.12473514873534441,0.05625311598780825,0.048384036589413884,0.268110528588295,0.1139463372528553,0.036633959859143944,0.01898063627678229,0.014280525664798916,0.08420511409640312,0.031838301569223404,0.006349687623325735,0.0031543132858167047,0.002627016819315031,0.014598593884147703,0.005563536426052451,0.025465723196510224,0.013412563291059759,0.008343155309557915,0.05910520907491444,0.022167597897350788,0.045196230007335546,0.017837762720238154,0.020326184574514627,0.08906087726354599,0.041267773136496544,0.018433253928786145,0.013195385012260832,0.004086891748011112,0.05312022157013416,0.015254187863320112,CAS,0.36257797545194625,1.8972185666744217,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00002,large: 10000+,53593.0,0.0018067314710933716,0.00048039462622437616,0.001081300963414833,0.00299455399508588,0.0017515586223453283,0.012838588146027178,0.00531260883815069,0.005672926735132933,0.026226877281442282,0.011664691381156445,0.008408213964779861,0.004453059651777667,0.002974848716985434,0.01929237195290625,0.007439668755978346,0.007103620484936983,0.002787480992380407,0.0033526162442285568,0.013615754153579471,0.006613489473238587,0.005622579693910666,0.0022848772432828035,0.002203530044062063,0.011061131139285859,0.005268062464892864,0.3148767276033759,0.09165518449294202,0.1535614524036646,0.512768779695034,0.31068097054958344,0.050458037838339805,0.025771130825507523,0.017948711244389414,0.11453560627996918,0.04578075371682644,0.3182046942189336,0.09994173648330476,0.1516215894371271,0.5339410990476608,0.30965667963027954,0.006919071496697142,0.0043734146016517015,0.0022131892503239213,0.017262492375448336,0.0057877786457538605,0.017062997031025588,0.009385722696428485,0.006440101994667202,0.04020014824345708,0.01488907216116786,0.12816799133457243,0.05702744289620147,0.046408170461654664,0.26044775694608685,0.12023478373885155,0.0413928604433313,0.022909543073129743,0.0149075509281829,0.09873124789446587,0.03509616479277611,0.006330817260895856,0.0031777168739557868,0.0025752162735443564,0.013792277220636607,0.005476499674841762,0.025700482242740692,0.013710295864830704,0.008106244704686105,0.058816487062722446,0.022323056124150753,0.03959414288401604,0.01692220346568383,0.016758965142071248,0.0830304531380534,0.036166148260235786,0.015512443092418834,0.010784102109853616,0.00361745068221353,0.04216937394812701,0.012992739211767912,Lagoon,0.3182046942189336,1.8683331050646643,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00003,large: 10000+,38972.0,0.0017698143160669133,0.00047375338140115284,0.0010273060732288286,0.002890474227024242,0.00171138986479491,0.012286030236631633,0.00496603814032568,0.005598349729552865,0.024913227511569852,0.011341018602252007,0.008837822322850115,0.004650166641823207,0.0030561081715859474,0.020403181482106444,0.007726770360022783,0.007619345260551199,0.003022616499873409,0.0035215327923651786,0.014794687740504738,0.007068904349580407,0.005787725429516286,0.0023292530638277507,0.002259029314154759,0.011340296710841356,0.0053994981572031975,0.3027976176738739,0.08901935985518725,0.15550501123070717,0.4944432698190212,0.2996034026145935,0.05136839730571956,0.025718059588391868,0.01730143204331398,0.11588907558470964,0.04601047933101654,0.32373765563964846,0.10045756740970713,0.14544317796826364,0.5342637673020362,0.31502723693847656,0.006702210650313646,0.004246405782718115,0.0022716698877047747,0.015892235515639185,0.005584684899076819,0.015970673433039338,0.008494665964689277,0.005919231951702386,0.03651743456721304,0.014228172600269318,0.12959209180623293,0.056581954234081216,0.0495056189596653,0.27481389716267574,0.11998637393116951,0.03986314796004444,0.021371961399049615,0.01427350020967424,0.09404108729213473,0.03519721142947674,0.006988912374945358,0.0037790783927399148,0.002672024368075654,0.01681851963512599,0.0059537142515182495,0.02569481764920056,0.014074167702483188,0.007867949199862778,0.05984527580440044,0.021964648738503456,0.04352066019270569,0.01936406805217948,0.017984736151993273,0.09064560681581496,0.03958755359053612,0.01746307567576878,0.012930078758605721,0.003831401461502537,0.05003038048744199,0.014136360958218575,Lagoon,0.32373765563964846,1.8821448765830495,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00004,large: 10000+,60324.0,0.0019135730108828283,0.000503636091591419,0.0011463525472208858,0.0030427564517594872,0.0018446352914907038,0.013582799615804105,0.005531814472064555,0.006039816176053136,0.027816150384023783,0.012307214550673962,0.008835623729974032,0.004638903947740062,0.003150151192676276,0.020386772509664294,0.007819426711648703,0.007541207512374967,0.0029966385679138993,0.003591844218317419,0.014502491219900547,0.006987789878621697,0.0057785766693996266,0.0023108694700104833,0.0023369326372630894,0.011267554666846985,0.0054117313120514154,0.32577027913182977,0.09346050681120091,0.16173201091587544,0.5191735118627547,0.31848132610321045,0.05270796335395426,0.026656414331711294,0.018895973032340408,0.11974942553788423,0.04685510881245136,0.2843580689653754,0.09692837244056132,0.12999858073890208,0.49641626700758923,0.2765824496746063,0.007192685696529225,0.004492207007814113,0.0023685592226684094,0.018404379487037655,0.0061574752908200026,0.01807648558053188,0.009978176242646469,0.0066948561696335675,0.04215695774182677,0.015959384851157665,0.1379922266099602,0.060976143252435874,0.053019479010254146,0.2806302301585674,0.12808173149824142,0.043697607963345944,0.024286681808305337,0.015376593382097781,0.10467056576162577,0.03759048320353031,0.006506221461575478,0.003209469294147554,0.0026634368230588736,0.014317856938578188,0.005676725180819631,0.02720657116547227,0.014335877186551216,0.008382153394632042,0.06150447642430663,0.02397257275879383,0.04257827901281416,0.018083905102954632,0.018003069888800384,0.0877998212352395,0.0389411561191082,0.016261830653296783,0.011009951675871828,0.0038857276842463764,0.04349164003506301,0.013649337459355593,CAS,0.32577027913182977,1.9071937752805872,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00005,large: 10000+,171136.0,0.002589779000263661,0.0007278496643019187,0.001485035810037516,0.004343696869909762,0.002466015866957605,0.019527628413867206,0.007969965980951985,0.008722160593606532,0.038783230073750015,0.017849049530923367,0.010767224801238626,0.005233258778466325,0.003930339962244034,0.023866289481520652,0.00966382073238492,0.010579611990600825,0.004475442578648131,0.0047745209070853886,0.0214983208104968,0.009670457802712917,0.009038654563948511,0.003893463651702819,0.0034055499243550004,0.018362073786556715,0.008396194316446781,0.4377912317365408,0.10034506667356377,0.24957366175949575,0.6381759941577911,0.43510887026786804,0.058796332583762705,0.029863478036793685,0.020957195945084096,0.12782293111085888,0.054466212168335915,0.15754012852162122,0.06732150659914116,0.06101388689130545,0.32833737060427665,0.14648867398500443,0.008470025266055017,0.005481799950206266,0.0027373326011002064,0.021038484387099737,0.007208717055618763,0.021127478695707396,0.010507707814293757,0.007714041939470917,0.04652956118807196,0.01900426484644413,0.13189019995369017,0.055377913010895986,0.0524441902525723,0.2584943830966949,0.12284503132104874,0.04282652702275663,0.022416210048705032,0.01622744065243751,0.10199403297156087,0.03769557736814022,0.006525771145243197,0.0031285191457552926,0.0028413000982254744,0.014439829997718335,0.00563294836319983,0.023767838741187007,0.011103041034885597,0.007719908666331321,0.05190665433183312,0.021764437668025494,0.05314130628947169,0.01943713106491177,0.0240439607296139,0.09749184921383858,0.04969383589923382,0.005620261481264606,0.0027120154859512323,0.0020615392772015185,0.012279982026666402,0.00512626045383513,CAS,0.4377912317365408,1.8819241773671034,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00007,large: 10000+,15556.0,0.0017095191079424695,0.00042691862659296077,0.0010390674025984481,0.0027067627874203027,0.0016539564239792526,0.008948209676658735,0.003197364597270161,0.004417077777907253,0.01690690787509084,0.008516755420714617,0.00930464108788874,0.005163574035838614,0.0030786161369178444,0.02210669913329184,0.00810708524659276,0.00737539337517228,0.0028551354981685567,0.003241690882714465,0.014588189707137643,0.006887195399031043,0.005530910401721485,0.0021426413017763,0.0022353699954692275,0.010630370280705391,0.005227738060057163,0.24514685962349175,0.07961736621648342,0.11559227854013443,0.4429015107452869,0.23678816854953766,0.044088731835596265,0.021592055052513725,0.014578178361989557,0.09268549568951127,0.03997237794101238,0.3551718625500798,0.10569625302809951,0.17183209583163261,0.5720268189907074,0.3490205556154251,0.007060595522285439,0.004494812337563174,0.0021232454397249966,0.01700716153718531,0.006020416738465428,0.016419842195231467,0.008666894625274332,0.00640715406043455,0.03769270097836852,0.014353837817907333,0.12140858810022473,0.053370128296238176,0.046940355096012354,0.24210752509534358,0.11212528496980667,0.05607333575282246,0.03260573695463975,0.016884963447228073,0.13511184751987457,0.048580439761281013,0.006341610084054991,0.003126057426413311,0.0024490154581144454,0.014045031135901801,0.005584802245721221,0.033180668376851824,0.022416317872715738,0.008632948040030897,0.0862518774345517,0.026797167025506496,0.05240370131470263,0.025868066218028576,0.018111502658575772,0.11716842707246541,0.046525295823812485,0.029835531251505017,0.02209128589905946,0.004838749207556248,0.08844826892018313,0.023776444606482983,Lagoon,0.3551718625500798,1.935915404945217,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00008,large: 10000+,11167.0,0.0017261604385566897,0.00045353397710279873,0.00099272868828848,0.002835879591293633,0.0016717295511625707,0.010449195526074618,0.0038128859377254986,0.004900587210431695,0.019036432774737475,0.009784800000488758,0.009705998477875255,0.005490635007333195,0.003061213868204504,0.023515326157212257,0.00845450023189187,0.009130963147617877,0.004008622154643499,0.003703925100853667,0.018684423994272944,0.008373121730983257,0.005392265345901251,0.0020800527408495143,0.002226049965247512,0.010539388144388795,0.005119150737300515,0.21978224873170257,0.07640172728296576,0.09689299408346415,0.4151657506823539,0.20953043550252914,0.04992870213650167,0.02504804710309396,0.01572142280638218,0.1062742656096815,0.04429643973708153,0.37264966939389704,0.10983708361624629,0.18847275674343109,0.6002958238124847,0.36477354168891907,0.007485742140444927,0.0046549742651032806,0.002402002830058336,0.01760934391058981,0.00647891778498888,0.01561171900574118,0.008189803341221364,0.00590818797936663,0.035066185984760516,0.013750595040619373,0.12544629678875208,0.05532519236012565,0.048512181360274555,0.24889865219593044,0.1161838211119175,0.055729213135316966,0.03318751741511099,0.016740857670083643,0.13860651850700373,0.04770689643919468,0.00681777027179487,0.00342291661543596,0.0026407164987176657,0.015558439260348673,0.005930322455242276,0.034527938021346925,0.022464557250938315,0.00921318435575813,0.09045727588236328,0.028200654312968254,0.047302801204845306,0.02292781241856814,0.017027320386841894,0.10340843163430687,0.04246167279779911,0.028313314733561128,0.020939136967483684,0.005665461672469974,0.08076336365193129,0.022747933864593506,Lagoon,0.37264966939389704,1.9435378042516698,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00009,large: 10000+,64618.0,0.0020202395838568917,0.0005356060723225978,0.0012374568381346763,0.003287201159400865,0.0019358721328899264,0.013892310665454715,0.005576364404957275,0.006329855136573315,0.02887528403662145,0.01269963476806879,0.009169674913515337,0.004834913681682794,0.003323734173318371,0.021090450650081038,0.00805263826623559,0.007836013446794823,0.003070846851065648,0.0037278752599377183,0.015084574557840824,0.0073025531601160765,0.005972561311209574,0.0023343558196476126,0.0024509782146196813,0.011264497484080493,0.005664948606863618,0.32863000842928886,0.09425555208869708,0.16646337658166885,0.5285250693559647,0.3202498108148575,0.05679581525828689,0.02887959677873724,0.020410936744883656,0.12514372654259204,0.0506934504956007,0.2699844207987189,0.09494730417060256,0.11719570476561786,0.48467376604676243,0.26290363073349,0.007305737066548318,0.004439348479847004,0.0024750855867750944,0.018103427300229662,0.006288200384005904,0.01762309837876819,0.009313684288613237,0.0067837397335097195,0.0386306113563478,0.01569377351552248,0.14166429838724434,0.061859657563508016,0.05426074108108878,0.2977749668061733,0.13159528374671936,0.04437992755975574,0.024712795879061,0.015799755090847613,0.10663704462349409,0.03869524784386158,0.006743835236644373,0.0033307282519497027,0.0026713089551776647,0.015568489441648124,0.005776620237156749,0.026701434714253992,0.01411717793374374,0.008207667293027044,0.060670259594917286,0.02342482004314661,0.0430593734588474,0.01820648735165967,0.018242215225473046,0.08766166102141142,0.0392081867903471,0.018221251481911168,0.013122548536298344,0.003844584251055494,0.05143300443887709,0.014886751305311918,CAS,0.32863000842928886,1.9267431423753798,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00010,large: 10000+,157543.0,0.002057315444108099,0.0005248279753339883,0.0012392249860567971,0.003298927133437246,0.0020016413182020187,0.01712216591369361,0.0073012790284719105,0.007210757862776518,0.03711384935304522,0.015689593739807606,0.01052911273855716,0.0054439758701082695,0.003754452633438632,0.022979487292468546,0.009392764884978533,0.008857063474133611,0.0037394526472219604,0.003959498601034284,0.0179602681659162,0.008135528769344091,0.007499468698631972,0.003127964453142438,0.0029028764984104782,0.014991311472840605,0.007069198414683342,0.40162171664834023,0.10264990820510075,0.20363066270947455,0.6065240517258644,0.4022001028060913,0.05671303619630635,0.03002577178008721,0.018885879078879952,0.12739139795303342,0.05129211023449898,0.24577536101266742,0.09190286702795825,0.10216153394430876,0.46313053146004657,0.2330573946237564,0.006622433955315501,0.003969059739265035,0.002210043801460415,0.015552019444294268,0.005780506180599332,0.017336026978446172,0.008859555719372388,0.00652408148162067,0.03935554586350917,0.015428667422384024,0.09550577781908214,0.04165286800598953,0.03651521410793066,0.19156254418194293,0.08805709332227707,0.03987592550832778,0.021267964862298643,0.015048735169693827,0.09626742769032716,0.03443722054362297,0.005705530817620456,0.0026249330585260463,0.002533947199117392,0.01245796240400523,0.00506844068877399,0.023168644920224322,0.011642762588087231,0.0077842006343416875,0.053308054432272906,0.02063568774610758,0.04412562560662627,0.016783704741168044,0.019143801368772983,0.08667482901364564,0.04125089570879936,0.017484794043703004,0.011796693513651663,0.004111929866485298,0.04866789337247608,0.014563654083758593,CAS,0.40162171664834023,1.8643730373268173,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00011,large: 10000+,17996.0,0.0016965971377794632,0.00041702511965345914,0.0010346956230932846,0.0026682073599658906,0.0016527992556802928,0.008763625228544698,0.00309240428485128,0.00423103483626619,0.01637186594307422,0.00835754256695509,0.009422550909454003,0.005108896862980864,0.00321830112952739,0.021884011337533593,0.008228634484112263,0.007097324417904019,0.0026735896030930305,0.0031864057353232058,0.01362832521554082,0.006663796957582235,0.005470486730686389,0.002119168292589811,0.0022525207023136318,0.010414460697211324,0.005121080903336406,0.26283788798749447,0.08153152601248666,0.1297357387840748,0.45212748423218724,0.25373534858226776,0.04537196228094399,0.022294253310235882,0.015780396200716494,0.1002618109807372,0.04123791493475437,0.3367847499474883,0.1030330312813729,0.16038824133574964,0.5590204939246177,0.32632240653038025,0.006309051199932583,0.0038654429119055083,0.002176169748418033,0.014997615013271563,0.005448987009003758,0.015937974935397507,0.008365528034322112,0.006185670860577375,0.03590002497658133,0.014116421807557344,0.1345232997313142,0.05761898179900697,0.05320182647556067,0.272489383071661,0.1241481602191925,0.045922597541473806,0.026100006577272156,0.015033132745884359,0.11032380145043126,0.039491020143032074,0.006227957277442329,0.002987615448328524,0.002478012110805139,0.013550057145766911,0.005510124610736966,0.037091752295847984,0.02587672679344611,0.00843114301096648,0.1073810389265418,0.02959034312516451,0.053184871827252206,0.026075512637415546,0.019057264691218732,0.12034800481051203,0.047651806846261024,0.023357309697195888,0.019375790971837344,0.003940358059480786,0.07295408919453619,0.018038691952824593,Lagoon,0.3367847499474883,1.9248444779989926,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00012,large: 10000+,23962.0,0.0018132521932711825,0.00046504889294835184,0.0010643769492162392,0.002848033927148207,0.001774810953065753,0.0102355218406301,0.0039021281502173545,0.004795931128319353,0.019293687818571926,0.009380032774060965,0.009112834796891548,0.00509714572761658,0.003015406854683533,0.02163906102068721,0.00790451979264617,0.0073379444134188815,0.0027817373273365037,0.0033873543259687723,0.014076928445138037,0.006804886506870389,0.005637268220889382,0.002218760965689638,0.0022911701176781206,0.010798613307997583,0.005292903631925583,0.2477382648512721,0.0776382622582965,0.12007454540580512,0.43026993349194526,0.23859141767024994,0.04581980259437114,0.022213411642886167,0.015321894316002727,0.10218770690262317,0.04184378683567047,0.353392903059721,0.10427712432598156,0.17047673352062703,0.5747847318649291,0.34541887044906616,0.006159818761749193,0.0032782127963935656,0.002281179843703285,0.014028778811916706,0.005491177085787058,0.016405438957735895,0.00861378983059317,0.006219626683741808,0.03690182240679858,0.014823797158896923,0.13921180860698223,0.059750921852167835,0.05411609783768654,0.2793053038418293,0.12957396358251572,0.050512511843815444,0.029383440633235856,0.01662881108932197,0.11741704903542995,0.04329713620245457,0.006655326638836414,0.0031752643366076256,0.0027081985434051605,0.014455303642898792,0.005830592941492796,0.027031528520863504,0.01507020637460166,0.008282428933307528,0.0637486444786191,0.023296048864722252,0.053157080069184307,0.025362010071340535,0.0201625760179013,0.11912823021411893,0.04774022847414017,0.019778694746783003,0.01461100377348427,0.004103137098718435,0.058295054826885434,0.016026637516915798,Lagoon,0.353392903059721,1.9095836177295462,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00015,large: 10000+,51458.0,0.0017848488329909743,0.0004503482741542119,0.0010837545269168913,0.0028310266614425925,0.001726150163449347,0.012362658560741693,0.004908643010917233,0.005661278869956732,0.024113594368100167,0.011576586402952671,0.008616588566103018,0.004723260134311885,0.0029058867716230453,0.020220415387302633,0.007542844396084547,0.007710909804329276,0.0030269588888466475,0.0035266741004306825,0.015472683240659533,0.007179735694080591,0.005995104533270933,0.0024506708015156345,0.00229158946312964,0.01190893491730094,0.005640290444716811,0.29895270738750696,0.08945350478189087,0.1444455660879612,0.49314241558313365,0.29271818697452545,0.0507163243945688,0.025898385019445434,0.0185665228869766,0.11719118263572453,0.0456848070025444,0.33381293395906686,0.10241972396097791,0.15810252763330937,0.5495815381407738,0.3254793733358383,0.006328205257421359,0.0035216710174920205,0.002201075368793681,0.014926747372373934,0.005492336815223098,0.016132815295597538,0.008493207409211358,0.006072830141056329,0.03629893641918897,0.014463366474956274,0.12551736696437002,0.05492045484005115,0.047878497000783685,0.26518905237317086,0.11754667013883591,0.047567306913435456,0.026977209583873264,0.016417075274512173,0.11816265471279619,0.040643466636538506,0.006466383672901429,0.003258123085819508,0.002607788855675608,0.014996569906361399,0.005603499943390489,0.02162837376166135,0.010961996520401456,0.0072931486065499485,0.0466305267997086,0.019048254936933517,0.03992151223774999,0.01632225059826609,0.017636463232338428,0.08011688254773616,0.03677607513964176,0.01648595896246843,0.011461096522056038,0.00396932220319286,0.04508768608793614,0.013723916374146938,Lagoon,0.33381293395906686,1.868949060699808,,United Arab Emirates,Abu Dhabi,,,,Abu Dhabi
AE00016,large: 10000+,108299.0,0.0025658590579405427,0.0009182617768320873,0.0014258597395382822,0.004610204673372208,0.0024025620659813285,0.009534584499895573,0.0032285440205544504,0.004792342707514763,0.01748350691050291,0.008971073664724827,0.005496766234748066,0.0023009466553157248,0.0023005388502497226,0.011064555821940299,0.005131696118041873,0.00786576985521242,0.003750557953889444,0.003305270365672186,0.016431083157658573,0.007124694064259529,0.007471827857894823,0.003907944957926069,0.00234471833682619,0.01709412387572229,0.006800126982852817,0.46765477341413497,0.10074729356474388,0.2698162212967873,0.6516414448618889,0.4701574891805649,0.06305238376744092,0.032660306084778976,0.022105307271704077,0.13912590034306047,0.05605677701532841,0.11531673416122794,0.0482914861441397,0.048548785503953695,0.22964576222002503,0.10783226415514946,0.00562659554136917,0.0033037923614995775,0.0018730883835814895,0.014080997649580238,0.0048397455830127,0.017134532892145216,0.009191646901047965,0.005826889676973224,0.04064693124964833,0.015088502317667007,0.1745324467793107,0.07719164629225868,0.06575345750898123,0.3587490245699881,0.15871702879667282,0.03588213231461122,0.019800618873154065,0.012725952290929854,0.08593506366014478,0.031101557426154613,0.006544447802822106,0.0034800065716901014,0.0024944913806393743,0.01589191472157836,0.005636685760691762,0.026136186419054866,0.01376667280427396,0.00856653533410281,0.06085014091804623,0.02306958567351103,0.05070869947969914,0.02035361372223881,0.02266006185673177,0.09950982276350258,0.04704694636166096,0.004476259516843129,0.0021244020053644416,0.0016151042538695038,0.009714475064538416,0.004118707729503512,CAS,0.46765477341413497,1.7682257299855761,,United Arab Emirates,Dubai,,,,Dubai
AE00018,large: 10000+,478732.0,0.0020372639126726424,0.0005517784871241265,0.0011397643509553745,0.003410033060936257,0.0019644282292574644,0.03363723205123097,0.015976739137629252,0.012860283348709345,0.07349450774490833,0.03011665027588606,0.00698470602510497,0.0031918284779569525,0.0027021905290894213,0.014833750412799416,0.006432077381759882,0.010196825422812254,0.0053928113591168786,0.0034527429437730462,0.0230861144606024,0.008905634749680758,0.007708175553008914,0.00442309566888813,0.002025210781721398,0.017963851289823647,0.0068282680585980415,0.5609281115978956,0.10194674859373018,0.3552890807390213,0.7477386936545372,0.5623680949211121,0.0674260507915169,0.03559325679367616,0.022930122260004283,0.1523784816265106,0.05951574072241783,0.14543407448381185,0.06600142693553677,0.0523189184255898,0.3019436739385128,0.13376305252313614,0.005647704658098519,0.003333926783109922,0.0016840282623888925,0.014590308303013442,0.004746594466269016,0.004804081676993519,0.0022803271396667317,0.0019653715193271638,0.01072216408792883,0.004260658053681254,0.058173653279431164,0.024555341207018504,0.023625233117491005,0.11822808925062417,0.0530641283839941,0.030524259641300885,0.016821745495961056,0.01006738874129951,0.07264766581356523,0.02687937766313553,0.003949996063951403,0.0016597209766867152,0.0018854626163374633,0.008050729962997138,0.003576120361685753,0.019287688626907766,0.007393081467313227,0.008471939386799932,0.03728337036445736,0.01803146582096815,0.03911181005463004,0.015532050583031263,0.017004367290064694,0.0747789466753602,0.03653503395617008,0.004148365238215775,0.0016694844813395194,0.0016902974573895335,0.008113623061217365,0.0038822420174255967,CAS,0.5609281115978956,1.6065919613742052,,United Arab Emirates,Ajman,,,,Ajman
AE00019,large: 10000+,216715.0,0.0026243564798496665,0.0007195977791149378,0.001568732032319531,0.004351460956968366,0.0025225519202649593,0.02772498993529007,0.013165295943782176,0.010484318947419524,0.062461826298385856,0.025040535256266594,0.005716205098782666,0.0021928832589096807,0.0026443375216331335,0.010927262599579988,0.005332024535164237,0.012472965041175484,0.0069933677625449745,0.0042985269334167246,0.029910223372280588,0.010733312461525202,0.008154350142460316,0.004425895792131811,0.0026591599569655957,0.019789537508040664,0.007191110868006945,0.4823934972584248,0.10119445477614175,0.2839277029037476,0.6760740086436271,0.4842747002840042,0.07473916935361921,0.03823266929958886,0.02523410036228597,0.16133137382566912,0.06627306342124939,0.11543649694137276,0.05084196654959191,0.043465484771877526,0.23979841284453868,0.10703117400407791,0.005991368392365985,0.003175405435141886,0.0022416163352318107,0.013635229389183217,0.005247973371297121,0.01761800831509754,0.009078889432405323,0.006481023854576051,0.040600516647100446,0.015487206168472767,0.13505128258652985,0.054365709411634155,0.05399533854797482,0.25732497051358216,0.12581483274698257,0.037209024237468837,0.020171632623548808,0.012565513723529875,0.08512277174741027,0.032577741891145706,0.00550472492701374,0.002512463812580103,0.0024192274024244396,0.011990229412913321,0.004827533615753055,0.02033550038561225,0.008643413416467495,0.007895293831825256,0.04187501110136508,0.018903858959674835,0.04408331444114447,0.016284278303380067,0.020506045874208213,0.0853188956156373,0.04146924242377281,0.00494474504108075,0.002169994051111797,0.0019406990555580705,0.010372344963252544,0.004519968060776591,CAS,0.4823934972584248,1.79955561618314,,United Arab Emirates,Dubai,,,,Dubai
