Scenario,Lower,Lower Middle,Upper Middle,High,Total
2022,1626.47,21275.92,50411.85,44127.26,117441.5
SSP1-2030,3623.09,32477.2,66534.6,46518.41,149153.29
SSP2-2030,3182.22,29812.08,64664.15,47765.96,145424.4
SSP5-2030,3672.94,30489.21,67397.24,49134.44,150693.82
SSP1-2040,8431.39,52999.29,76490.58,48979.05,186900.32
SSP2-2040,5951.57,42268.39,70423.22,51040.05,169683.23
SSP5-2040,7741.2,47994.21,76946.14,54946.15,187627.71
SSP1-2050,16377.15,79824.56,82570.65,50735.06,229507.42
SSP2-2050,9988.67,58755.06,75172.23,53207.65,197123.6
SSP5-2050,12704.45,78283.04,84760.29,59840.97,235588.76
SSP2-2030-SDG,14008.69,79087.36,77823.78,50887.64,221807.45
SSP2-2030-WaterUK,1272.89,11924.83,26091.36,21831.97,61121.06
SSP2-2030-SDG+WaterUK,5603.47,31634.94,31475.85,23123.26,91837.53
SSP2-2050-CEPT,7954.86,46677.85,94680.97,67679.16,216992.83
SSP2-2050-HRAS,9939.38,58565.95,119096.8,84615.61,272217.73
SSP2-2050-AnMBR,8940.26,52894.75,107831.11,76156.5,245822.62
